uf,date,casos,uf_code,train_1,target_1,train_2,target_2,train_3,target_3,train_4,target_4,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days,population,enso,iod,pdo
AC,2010-01-03,760,12,True,False,True,False,True,False,True,False,23.6004440512464,26.493563162393116,30.434343601585542,0.5354002790773064,8.843348027309053,35.2944619984288,64.20072419675874,81.66992532180721,93.8773295760882,6.833899550339142,7.0,765021.0,0.903544,0.052377,-0.379656
AC,2010-01-10,896,12,True,False,True,False,True,False,True,False,23.209357025978935,25.46527743735139,28.918021304382492,1.8920693116920972,21.87740443530308,64.45468060040183,71.61391560930073,87.75150055113333,97.3594397451461,5.708664278403561,7.0,765021.0,0.903544,0.052377,-0.379656
AC,2010-01-17,892,12,True,False,True,False,True,False,True,False,23.491506825620284,25.687875313021284,29.159529411256127,2.365441463436951,23.532155264626724,76.19440644688184,72.9062431258563,88.5510366724947,97.31585296039496,5.668022585635836,7.0,765021.0,0.903544,0.052377,-0.379656
AC,2010-01-24,1235,12,True,False,True,False,True,False,True,False,23.17264572544881,25.18425197211206,28.320702998199675,3.472841306055651,34.56374058633685,103.41051299559096,78.82347237216831,91.44478393610858,98.8391281241019,5.1480572727508696,7.0,765021.0,0.903544,0.052377,-0.379656
AC,2010-01-31,1811,12,True,False,True,False,True,False,True,False,23.81486161089509,25.870742684766636,29.161712255966087,2.6724180707457705,31.964291995513847,90.49838667448344,75.4185768124199,90.32649111776016,97.95208077339429,5.346850645070994,7.0,765021.0,0.95954,0.369277,0.095261
AC,2010-02-07,1927,12,True,False,True,False,True,False,True,False,23.63985184470193,26.29260074141755,30.34136994653928,2.122593403710486,28.222767882188855,97.89259603200432,68.988122487674,86.35212704611097,96.8264633919853,6.701518101837354,7.0,765021.0,0.972358,0.7273,-0.414427
AC,2010-02-14,2160,12,True,False,True,False,True,False,True,False,24.00152687597558,26.30327644649157,29.789753462995503,2.6851479105802327,23.423304106031075,69.77098189984326,72.02834589599502,88.66875094734094,98.16648228754504,5.788226587019927,7.0,765021.0,0.972358,0.7273,-0.414427
AC,2010-02-21,1969,12,True,False,True,False,True,False,True,False,23.553301717936034,25.64808529026374,28.94280184613046,3.699435272495787,38.09348773942153,95.2534827055728,76.27794944331127,90.98478926720404,98.71381018190536,5.389500128194427,7.0,765021.0,0.972358,0.7273,-0.414427
AC,2010-02-28,1989,12,True,False,True,False,True,False,True,False,23.793355493528004,26.02194693370696,29.43917074177422,0.893267207828282,22.226545666589544,67.41248845678746,74.2920448545857,89.6811472860409,98.27552376834848,5.64581524824622,7.0,765021.0,0.972358,0.7273,-0.414427
AC,2010-03-07,1651,12,True,False,True,False,True,False,True,False,23.98092548777839,26.537068792528014,30.642463519563513,0.7224910467817224,15.696226544892232,59.49477844176826,69.12344110221437,88.17645206243638,98.29383153004017,6.661538031785122,7.0,765021.0,0.812831,1.165936,-0.717495
